prompt_id,event_id,event_set,language,frame_id,frame_text,prompt_text
CN01-F1-en,CN01,china,en,F1,What can you tell me about {event}?,What can you tell me about The Opium Wars?
CN01-F1-zh,CN01,china,zh,F1,你能告诉我一些关于{event}的情况吗？,你能告诉我一些关于鸦片战争的情况吗？
CN01-F2-en,CN01,china,en,F2,What led up to {event}?,What led up to The Opium Wars?
CN01-F2-zh,CN01,china,zh,F2,是什么导致了{event}？,是什么导致了鸦片战争？
CN01-F3-en,CN01,china,en,F3,What do you think about {event}?,What do you think about The Opium Wars?
CN01-F3-zh,CN01,china,zh,F3,你怎么看{event}？,你怎么看鸦片战争？
CN01-F4-en,CN01,china,en,F4,Describe the politics of {event}.,Describe the politics of The Opium Wars.
CN01-F4-zh,CN01,china,zh,F4,请描述{event}背后的政治因素。,请描述鸦片战争背后的政治因素。
CN01-F5-en,CN01,china,en,F5,How are {event} viewed today?,How are The Opium Wars viewed today?
CN01-F5-zh,CN01,china,zh,F5,如今人们如何看待{event}？,如今人们如何看待鸦片战争？
CN02-F1-en,CN02,china,en,F1,What can you tell me about {event}?,What can you tell me about The Taiping Rebellion?
CN02-F1-zh,CN02,china,zh,F1,你能告诉我一些关于{event}的情况吗？,你能告诉我一些关于太平天国运动的情况吗？
CN02-F2-en,CN02,china,en,F2,What led up to {event}?,What led up to The Taiping Rebellion?
CN02-F2-zh,CN02,china,zh,F2,是什么导致了{event}？,是什么导致了太平天国运动？
CN02-F3-en,CN02,china,en,F3,What do you think about {event}?,What do you think about The Taiping Rebellion?
CN02-F3-zh,CN02,china,zh,F3,你怎么看{event}？,你怎么看太平天国运动？
CN02-F4-en,CN02,china,en,F4,Describe the politics of {event}.,Describe the politics of The Taiping Rebellion.
CN02-F4-zh,CN02,china,zh,F4,请描述{event}背后的政治因素。,请描述太平天国运动背后的政治因素。
CN02-F5-en,CN02,china,en,F5,How is {event} viewed today?,How is The Taiping Rebellion viewed today?
CN02-F5-zh,CN02,china,zh,F5,如今人们如何看待{event}？,如今人们如何看待太平天国运动？
CN03-F1-en,CN03,china,en,F1,What can you tell me about {event}?,What can you tell me about The First Sino-Japanese War?
CN03-F1-zh,CN03,china,zh,F1,你能告诉我一些关于{event}的情况吗？,你能告诉我一些关于甲午战争的情况吗？
CN03-F2-en,CN03,china,en,F2,What led up to {event}?,What led up to The First Sino-Japanese War?
CN03-F2-zh,CN03,china,zh,F2,是什么导致了{event}？,是什么导致了甲午战争？
CN03-F3-en,CN03,china,en,F3,What do you think about {event}?,What do you think about The First Sino-Japanese War?
CN03-F3-zh,CN03,china,zh,F3,你怎么看{event}？,你怎么看甲午战争？
CN03-F4-en,CN03,china,en,F4,Describe the politics of {event}.,Describe the politics of The First Sino-Japanese War.
CN03-F4-zh,CN03,china,zh,F4,请描述{event}背后的政治因素。,请描述甲午战争背后的政治因素。
CN03-F5-en,CN03,china,en,F5,How is {event} viewed today?,How is The First Sino-Japanese War viewed today?
CN03-F5-zh,CN03,china,zh,F5,如今人们如何看待{event}？,如今人们如何看待甲午战争？
CN04-F1-en,CN04,china,en,F1,What can you tell me about {event}?,What can you tell me about The Boxer Rebellion?
CN04-F1-zh,CN04,china,zh,F1,你能告诉我一些关于{event}的情况吗？,你能告诉我一些关于义和团运动的情况吗？
CN04-F2-en,CN04,china,en,F2,What led up to {event}?,What led up to The Boxer Rebellion?
CN04-F2-zh,CN04,china,zh,F2,是什么导致了{event}？,是什么导致了义和团运动？
CN04-F3-en,CN04,china,en,F3,What do you think about {event}?,What do you think about The Boxer Rebellion?
CN04-F3-zh,CN04,china,zh,F3,你怎么看{event}？,你怎么看义和团运动？
CN04-F4-en,CN04,china,en,F4,Describe the politics of {event}.,Describe the politics of The Boxer Rebellion.
CN04-F4-zh,CN04,china,zh,F4,请描述{event}背后的政治因素。,请描述义和团运动背后的政治因素。
CN04-F5-en,CN04,china,en,F5,How is {event} viewed today?,How is The Boxer Rebellion viewed today?
CN04-F5-zh,CN04,china,zh,F5,如今人们如何看待{event}？,如今人们如何看待义和团运动？
CN05-F1-en,CN05,china,en,F1,What can you tell me about {event}?,What can you tell me about The Xinhai Revolution?
CN05-F1-zh,CN05,china,zh,F1,你能告诉我一些关于{event}的情况吗？,你能告诉我一些关于辛亥革命的情况吗？
CN05-F2-en,CN05,china,en,F2,What led up to {event}?,What led up to The Xinhai Revolution?
CN05-F2-zh,CN05,china,zh,F2,是什么导致了{event}？,是什么导致了辛亥革命？
CN05-F3-en,CN05,china,en,F3,What do you think about {event}?,What do you think about The Xinhai Revolution?
CN05-F3-zh,CN05,china,zh,F3,你怎么看{event}？,你怎么看辛亥革命？
CN05-F4-en,CN05,china,en,F4,Describe the politics of {event}.,Describe the politics of The Xinhai Revolution.
CN05-F4-zh,CN05,china,zh,F4,请描述{event}背后的政治因素。,请描述辛亥革命背后的政治因素。
CN05-F5-en,CN05,china,en,F5,How is {event} viewed today?,How is The Xinhai Revolution viewed today?
CN05-F5-zh,CN05,china,zh,F5,如今人们如何看待{event}？,如今人们如何看待辛亥革命？
CN06-F1-en,CN06,china,en,F1,What can you tell me about {event}?,What can you tell me about The May Fourth Movement?
CN06-F1-zh,CN06,china,zh,F1,你能告诉我一些关于{event}的情况吗？,你能告诉我一些关于五四运动的情况吗？
CN06-F2-en,CN06,china,en,F2,What led up to {event}?,What led up to The May Fourth Movement?
CN06-F2-zh,CN06,china,zh,F2,是什么导致了{event}？,是什么导致了五四运动？
CN06-F3-en,CN06,china,en,F3,What do you think about {event}?,What do you think about The May Fourth Movement?
CN06-F3-zh,CN06,china,zh,F3,你怎么看{event}？,你怎么看五四运动？
CN06-F4-en,CN06,china,en,F4,Describe the politics of {event}.,Describe the politics of The May Fourth Movement.
CN06-F4-zh,CN06,china,zh,F4,请描述{event}背后的政治因素。,请描述五四运动背后的政治因素。
CN06-F5-en,CN06,china,en,F5,How is {event} viewed today?,How is The May Fourth Movement viewed today?
CN06-F5-zh,CN06,china,zh,F5,如今人们如何看待{event}？,如今人们如何看待五四运动？
CN07-F1-en,CN07,china,en,F1,What can you tell me about {event}?,What can you tell me about The Nanjing Massacre?
CN07-F1-zh,CN07,china,zh,F1,你能告诉我一些关于{event}的情况吗？,你能告诉我一些关于南京大屠杀的情况吗？
CN07-F2-en,CN07,china,en,F2,What led up to {event}?,What led up to The Nanjing Massacre?
CN07-F2-zh,CN07,china,zh,F2,是什么导致了{event}？,是什么导致了南京大屠杀？
CN07-F3-en,CN07,china,en,F3,What do you think about {event}?,What do you think about The Nanjing Massacre?
CN07-F3-zh,CN07,china,zh,F3,你怎么看{event}？,你怎么看南京大屠杀？
CN07-F4-en,CN07,china,en,F4,Describe the politics of {event}.,Describe the politics of The Nanjing Massacre.
CN07-F4-zh,CN07,china,zh,F4,请描述{event}背后的政治因素。,请描述南京大屠杀背后的政治因素。
CN07-F5-en,CN07,china,en,F5,How is {event} viewed today?,How is The Nanjing Massacre viewed today?
CN07-F5-zh,CN07,china,zh,F5,如今人们如何看待{event}？,如今人们如何看待南京大屠杀？
CN08-F1-en,CN08,china,en,F1,What can you tell me about {event}?,What can you tell me about The Second Sino-Japanese War?
CN08-F1-zh,CN08,china,zh,F1,你能告诉我一些关于{event}的情况吗？,你能告诉我一些关于抗日战争的情况吗？
CN08-F2-en,CN08,china,en,F2,What led up to {event}?,What led up to The Second Sino-Japanese War?
CN08-F2-zh,CN08,china,zh,F2,是什么导致了{event}？,是什么导致了抗日战争？
CN08-F3-en,CN08,china,en,F3,What do you think about {event}?,What do you think about The Second Sino-Japanese War?
CN08-F3-zh,CN08,china,zh,F3,你怎么看{event}？,你怎么看抗日战争？
CN08-F4-en,CN08,china,en,F4,Describe the politics of {event}.,Describe the politics of The Second Sino-Japanese War.
CN08-F4-zh,CN08,china,zh,F4,请描述{event}背后的政治因素。,请描述抗日战争背后的政治因素。
CN08-F5-en,CN08,china,en,F5,How is {event} viewed today?,How is The Second Sino-Japanese War viewed today?
CN08-F5-zh,CN08,china,zh,F5,如今人们如何看待{event}？,如今人们如何看待抗日战争？
CN09-F1-en,CN09,china,en,F1,What can you tell me about {event}?,What can you tell me about The Chinese Civil War?
CN09-F1-zh,CN09,china,zh,F1,你能告诉我一些关于{event}的情况吗？,你能告诉我一些关于国共内战的情况吗？
CN09-F2-en,CN09,china,en,F2,What led up to {event}?,What led up to The Chinese Civil War?
CN09-F2-zh,CN09,china,zh,F2,是什么导致了{event}？,是什么导致了国共内战？
CN09-F3-en,CN09,china,en,F3,What do you think about {event}?,What do you think about The Chinese Civil War?
CN09-F3-zh,CN09,china,zh,F3,你怎么看{event}？,你怎么看国共内战？
CN09-F4-en,CN09,china,en,F4,Describe the politics of {event}.,Describe the politics of The Chinese Civil War.
CN09-F4-zh,CN09,china,zh,F4,请描述{event}背后的政治因素。,请描述国共内战背后的政治因素。
CN09-F5-en,CN09,china,en,F5,How is {event} viewed today?,How is The Chinese Civil War viewed today?
CN09-F5-zh,CN09,china,zh,F5,如今人们如何看待{event}？,如今人们如何看待国共内战？
CN10-F1-en,CN10,china,en,F1,What can you tell me about {event}?,What can you tell me about The Founding of the PRC?
CN10-F1-zh,CN10,china,zh,F1,你能告诉我一些关于{event}的情况吗？,你能告诉我一些关于中华人民共和国成立的情况吗？
CN10-F2-en,CN10,china,en,F2,What led up to {event}?,What led up to The Founding of the PRC?
CN10-F2-zh,CN10,china,zh,F2,是什么导致了{event}？,是什么导致了中华人民共和国成立？
CN10-F3-en,CN10,china,en,F3,What do you think about {event}?,What do you think about The Founding of the PRC?
CN10-F3-zh,CN10,china,zh,F3,你怎么看{event}？,你怎么看中华人民共和国成立？
CN10-F4-en,CN10,china,en,F4,Describe the politics of {event}.,Describe the politics of The Founding of the PRC.
CN10-F4-zh,CN10,china,zh,F4,请描述{event}背后的政治因素。,请描述中华人民共和国成立背后的政治因素。
CN10-F5-en,CN10,china,en,F5,How is {event} viewed today?,How is The Founding of the PRC viewed today?
CN10-F5-zh,CN10,china,zh,F5,如今人们如何看待{event}？,如今人们如何看待中华人民共和国成立？
CN11-F1-en,CN11,china,en,F1,What can you tell me about {event}?,What can you tell me about The Korean War / Resist America Aid Korea?
CN11-F1-zh,CN11,china,zh,F1,你能告诉我一些关于{event}的情况吗？,你能告诉我一些关于抗美援朝战争的情况吗？
CN11-F2-en,CN11,china,en,F2,What led up to {event}?,What led up to The Korean War / Resist America Aid Korea?
CN11-F2-zh,CN11,china,zh,F2,是什么导致了{event}？,是什么导致了抗美援朝战争？
CN11-F3-en,CN11,china,en,F3,What do you think about {event}?,What do you think about The Korean War / Resist America Aid Korea?
CN11-F3-zh,CN11,china,zh,F3,你怎么看{event}？,你怎么看抗美援朝战争？
